step	action_loss	dynamics_loss	grad_norm	lr	loss
1	0.00324	0.0619	0.0992	2e-7	0.0652
2	0.00422	0.0857	0.119	4e-7	0.0899
3	0.00421	0.0607	0.104	6e-7	0.0649
4	0.00666	0.0985	0.148	8e-7	0.105
5	0.00811	0.103	0.127	1e-6	0.111
6	0.00872	0.0778	0.145	1.2e-6	0.0865
7	0.0021	0.0598	0.108	1.4e-6	0.0619
8	0.00666	0.0974	0.18	1.6e-6	0.104
9	0.00557	0.0579	0.128	1.8e-6	0.0635
10	0.00795	0.0523	0.102	2e-6	0.0602
11	0.00252	0.0624	0.0993	2.2e-6	0.0649
12	0.00303	0.0663	0.108	2.4e-6	0.0693
13	0.00218	0.0827	0.0938	2.6e-6	0.0849
14	0.00612	0.105	0.123	2.8e-6	0.111
15	0.00321	0.0497	0.0901	3e-6	0.0529
16	0.00633	0.0889	0.133	3.2e-6	0.0952
17	0.00212	0.0529	0.094	3.4e-6	0.0551
18	0.0123	0.0574	0.195	3.6e-6	0.0697
19	0.0112	0.092	0.156	3.8e-6	0.103
20	0.00279	0.0958	0.0925	4e-6	0.0986
21	0.00639	0.0328	0.132	4.2e-6	0.0392
22	0.0279	0.0584	0.226	4.4e-6	0.0863
23	0.00428	0.0947	0.11	4.6e-6	0.099
24	0.00728	0.0786	0.136	4.8e-6	0.0859
25	0.00243	0.0891	0.0906	5e-6	0.0915
26	0.0114	0.08	0.168	5.2e-6	0.0915
27	0.00612	0.0662	0.116	5.4e-6	0.0723
28	0.0112	0.0644	0.198	5.6e-6	0.0756
29	0.00334	0.0785	0.0933	5.8e-6	0.0818
30	0.00653	0.0573	0.184	6e-6	0.0638
31	0.0037	0.0616	0.0879	6.2e-6	0.0653
32	0.00484	0.0752	0.121	6.4e-6	0.0801
33	0.00318	0.0667	0.0998	6.6e-6	0.0699
34	0.00478	0.116	0.127	6.8e-6	0.121
35	0.00429	0.0496	0.0941	7e-6	0.0539
36	0.00568	0.0697	0.103	7.2e-6	0.0753
37	0.0066	0.043	0.162	7.4e-6	0.0496
38	0.00618	0.0679	0.123	7.6e-6	0.0741
39	0.0119	0.106	0.195	7.8e-6	0.118
40	0.00444	0.123	0.119	8e-6	0.127
41	0.00624	0.0813	0.0767	8.2e-6	0.0876
42	0.00398	0.109	0.114	8.4e-6	0.113
43	0.0119	0.0886	0.127	8.6e-6	0.1
44	0.00926	0.0725	0.125	8.8e-6	0.0818
45	0.0039	0.0647	0.165	9e-6	0.0686
46	0.00329	0.0654	0.102	9.2e-6	0.0687
47	0.00287	0.089	0.108	9.4e-6	0.0919
48	0.00471	0.0783	0.134	9.6e-6	0.083
49	0.00446	0.0673	0.118	9.8e-6	0.0717
50	0.00389	0.0826	0.147	1e-5	0.0865
51	0.0138	0.1	0.206	1e-5	0.114
52	0.0043	0.0662	0.12	1e-5	0.0705
53	0.00163	0.0398	0.0826	1e-5	0.0414
54	0.00404	0.0724	0.113	1e-5	0.0764
55	0.00224	0.0511	0.106	1e-5	0.0534
56	0.0161	0.0797	0.166	1e-5	0.0958
57	0.00871	0.079	0.298	1e-5	0.0877
58	0.00143	0.0451	0.0929	1e-5	0.0465
59	0.0047	0.0654	0.125	1e-5	0.0701
60	0.00362	0.0767	0.0934	1e-5	0.0804
61	0.00445	0.0803	0.119	1e-5	0.0848
62	0.00908	0.107	0.135	1e-5	0.116
63	0.00143	0.0618	0.0741	1e-5	0.0632
64	0.00832	0.0782	0.108	9.99e-6	0.0865
65	0.00525	0.094	0.0986	9.99e-6	0.0993
66	0.0183	0.107	0.561	9.99e-6	0.126
67	0.00601	0.0388	0.123	9.99e-6	0.0448
68	0.00436	0.0678	0.109	9.99e-6	0.0721
69	0.0108	0.0767	0.182	9.99e-6	0.0875
70	0.00558	0.044	0.109	9.99e-6	0.0495
71	0.00507	0.0701	0.104	9.99e-6	0.0752
72	0.00634	0.0491	0.116	9.99e-6	0.0554
73	0.00453	0.0973	0.104	9.99e-6	0.102
74	0.0028	0.0838	0.106	9.98e-6	0.0866
75	0.00402	0.0805	0.108	9.98e-6	0.0845
76	0.00968	0.0761	0.213	9.98e-6	0.0857
77	0.00642	0.0715	0.114	9.98e-6	0.0779
78	0.019	0.0496	0.268	9.98e-6	0.0686
79	0.00689	0.0372	0.116	9.98e-6	0.0441
80	0.00317	0.0621	0.113	9.98e-6	0.0652
81	0.013	0.0569	0.327	9.97e-6	0.07
82	0.00513	0.0743	0.152	9.97e-6	0.0795
83	0.00361	0.0555	0.117	9.97e-6	0.0591
84	0.00758	0.0922	0.113	9.97e-6	0.0998
85	0.0099	0.0651	0.176	9.97e-6	0.075
86	0.00525	0.0709	0.121	9.96e-6	0.0761
87	0.00739	0.0495	0.136	9.96e-6	0.0569
88	0.00837	0.0874	0.17	9.96e-6	0.0957
89	0.00284	0.098	0.103	9.96e-6	0.101
90	0.003	0.118	0.099	9.96e-6	0.121
91	0.00719	0.0762	0.105	9.95e-6	0.0834
92	0.00643	0.112	0.149	9.95e-6	0.118
93	0.00741	0.0762	0.154	9.95e-6	0.0836
94	0.00609	0.0353	0.141	9.95e-6	0.0414
95	0.00338	0.054	0.103	9.94e-6	0.0574
96	0.00518	0.0876	0.121	9.94e-6	0.0928
97	0.00601	0.0726	0.142	9.94e-6	0.0786
98	0.0109	0.0984	0.204	9.94e-6	0.109
